# embassy_id|channel_id|access_role_id|category_id|active|source_name
afghanistan|1428503770492305508|1428504069127016539|1371015715662069821|1|afganistan-embassy
algeria|1507296721003221123|1507296817614950430|1470403546665975900|1|algeria-embassy
argentina|1486413479534661672|1486414227056103544|1470403546665975900|1|argentina-embassy
australia|1372102117686247424|1372102415087702058|1371015715662069821|1|australia-embassy
austria|1430050640272425024|1430050814650744853|1371015715662069821|1|austria-embassy
bahrain|1479154781959491717|1479155293785952447|1470403546665975900|1|bahrain-embassy
bangladesh|1500864361059582105|1500864564781383881|1470403546665975900|1|bangladesh-embassy
belgium|1455081974585884683|1455082027769528433|1371015715662069821|1|belgium-embassy
benin|1495406928212263032|1474464243465060587|1470403546665975900|1|benin-embassy
bhutan|1503714217306492928|1443223354856177845|1470403546665975900|1|bhutan-2-embassy
bhutanembassydeprecated|1443223478223503421||1371015715662069821|0|bhutan-embassy-deprecated
brazil|1476086944223068210|1476088988422111447|1470403546665975900|1|brazil-embassy
brunei|1515039528639922326|1515039580787576884|1470403546665975900|1|brunei-embassy
bulgaria|1470024855050125353|1470025022213980245|1371015715662069821|1|bulgaria-embassy
burundi|1493933378637004840|1492862712387080364|1470403546665975900|1|burundi-embassy
cambodia|1429491483446214768|1429491743572623440|1371015715662069821|1|cambodia-embassy
canada|1489632450454753513|1489632556478501015|1470403546665975900|1|canada-embassy
chile|1461141059169026263|1461140988239282287|1371015715662069821|1|chile-embassy
china|1522091155494408212|1522091363590475918|1470403546665975900|1|china-embassy
colombia|1491104370463342722|1491104477510631737|1470403546665975900|1|colombia-embassy
comoros|1480754731940057109|1480755024421326890|1470403546665975900|1|comoros-embassy
croatia|1493914607839088730|1493914746632667197|1470403546665975900|1|croatia-embassy
cyprus|1371070839830741012|1371070716610351186|1371015715662069821|1|cyprus-embassy
denmark|1459255172432920780|1459255313357082866|1371015715662069821|1|denmark-embassy
egypt|1454758069908017185|1454758305938411604|1371015715662069821|1|egypt-embassy
elsalvador|1493915173902094488|1493691590579851424|1470403546665975900|1|el-salvador-embassy
