# role_id|role_name
1371025675363942421|🇵🇱Poland Embassy Access
1371026711659151432|🇯🇵 Japanese Embassy Access
1371027100072411167|🇹🇱Timor Embassy  Access
1371027779822424104|🇺🇾Uruguay Embassy Access
1371070716610351186|🇨🇾Cyprus Embassy Access
1372102290772725780|🇿🇦South Africa Embassy Access
1372102415087702058|🇦🇺Australia Embassy Access
1379181989931782215|🇮🇩Indonesia Embassy Access
1381489845112803338|🇵🇰Pakistani Embassy Access
1383143132308176906|🇺🇿Uzbekistan Embassy Access
1385324903217238067|🇵🇪Peru Embassy Access
1385535923911000095|🇱🇹Lithuania  Embassy Access
1424157929124270172|🇩🇪Germany Embassy Access
1428504069127016539|🇦🇫Afganistan Embassy Access
1428772901544530062|🇹🇼Taiwan  Embassy Access
1429491684009316483|🇹🇲Turkmenistan Embassy Access
1429491743572623440|🇰🇭Combodia Embassy Access
1429880301055901828|🇷🇸Serbia Embassy Access
1430050814650744853|🇦🇹Austria Embassy Access
1430551202621423737|🇲🇾Malaysia Embassy Access
1431122490125586542|🇱🇰Sri Lanka Embassy Access
1435938370655354932|🇺🇦Ukraine Embassy Access
1438186143257464872|🇹🇭Thailand Embassy Access
1438215643290796063|🇺🇸USA Embassy Access
1439597637253730416|🇵🇸Palestine  Embassy Access
1439719955762385136|🇹🇷Turkiye Embassy Access
1443223354856177845|🇧🇹Bhutan Embassy Access
1446856209142517861|🇸🇬Singapore Embassy Access
1446961693300363456|🇬🇧United Kingdom Embassy Access
1447166281886339273|🇮🇹Italy Embassy
1448407544904159436|🇰🇪Kenya Embassy Access
1448569780691927111|🇲🇱Mali Embassy Access
1454758305938411604|🇪🇬Egypt Embassy Access
1455082027769528433|🇧🇪Belgium Embassy Access
1455863436989956126|🇵🇹Portugal Embassy Access
1456275990203334873|🇷🇴Romania Embassy Access
1459255313357082866|🇩🇰Denmark Embassy Access
1460283462182371338|🇳🇵Nepal Embassy Access
1460286900647759994|🇬🇷Greece Embassy Access
1461140988239282287|🇨🇱Chile Embassy Access
1463212141275254976|🇫🇷France Embassy Access
1463212219981631544|🇰🇵United Korea Embassy Access
1463508063032971408|🇰🇿Kazakhstan Embassy Access
1467939362372190315|🇦🇪UAE embassy access
1468155006237671556|Kuwait-Embassy-access
1468190237300756686|Russia-embassy-access
1470025022213980245|Bulgaria-Embassy-Access
1470029326958329856|netherland-embassy-access
1470138834317479977|🇪🇹Ethiopia Embassy Access
1470401377032339630|Iraq Embassy Access
1470632431135494418|🇵🇭Philippines Embassy Access
1471173102711869460|🇻🇪Venezuela Embassy Access
1472956688062480424|Mauritania-embassy-access
1474464243465060587|Benin Embassy Access
1476088988422111447|brazil-embassy-access
1478689178299404368|sweden embassy access
1479155293785952447|Bahrain-Embassy-access
1479241539690561618|Moldova Embassy Access
1480093927682998312|saudi-embassy-access
1480755024421326890|Comoros-embassy-access
1480894409879978105|🇹🇿Tanznia Embassy Access
1480994278049058846|lebanon-embassy-access
1481333990878085352|ukraine-embassy-access
1481614966132838533|malta-embassy-access
1482344534175252654|equatorial-guinea-embassy-access
1484517499201654895|New Zealand Embassy Access
1486050704576614430|Finland Embassy Access
1486066865381052569|Mexico Embassy Access
1486414227056103544|Argentina -embassy-access
1489632556478501015|Canada-embassy-access
1489916693886140436|eritrea-embassy-access
1490923628072534016|Togo-embassy-access
1491104477510631737|colombia-embassy-access
1491663677160689704|Syria-embassy-access
1491899325112914001|Ireland Embassy Access
1492231320724705281|yemen-embassy-access
1492862712387080364|Burundi-embassy-access
1493691590579851424|el salvador embassy
1493693272848339075|Tajikistan-embassy
1493914746632667197|Croatia-embassy
1500864564781383881|Bangladesh-embassy-access
1501547962126307388|iran-embassy-access
1501850754301034507|Andorra-embassy-access
1504413880514777098|Congo-embassy-access
1504525278355918960|cameroon-embassy-access
1504711433089187911|Morocco-embassy-access
1507296817614950430|Algeria-embassy-access
1509181925686906880|uganda-embassy-access
1509392303817494732|Vietnam-embassy-access
1515039580787576884|Brunei-embassy-access
1522091363590475918|China-embassy-access
1524624042328457468|Israel-embassy-access
1524858601783427182|Ireland-embassy-access
1525762748837789696|Nigeria-embassy-access
1526870245090787328|Libya-embassy-access
1527857188050174033|Myanmar-embassy-access
1529879347673174197|Hungary-embassy-access
1531667433671098488|mongolia-embassy-access
